Date,entero_geomean,priordry,Rain_Prev1,Rain_Prev4,Rain_Prev7,watertemp,tidediff,groundwaterheight,windspeed,wind_deg,time_to_low,ground_ind,windA,windO,huntflow,huntheight
7/6/2016,83.3,0,0.41,0.41,0.77,73,5.5,8.718571429,3,270,0.175,1,3,3.67E-16,12.8,1
7/18/2016,10,0,0.39,1.21,1.21,75.4,4.3,10.21,4,225,0.054861111,0,2.828,2.828,12.8,0.97
7/20/2016,12.6,2,0,0.39,1.21,77.4,5.1,10.45857143,2,22.5,0.130555556,0,-0.7654,-1.848,7.48,0.85
7/25/2016,10,1,0,1.71,1.71,77.4,5.6,11.08,2,180,0.215972222,0,-1.23E-16,2,9.35,0.91
7/27/2016,10,3,0,0.8,1.71,81.9,5.4,11.23571429,2,202.5,0.143055556,0,0.7654,1.848,6.48,0.77
8/1/2016,16,2,0.42,0.59,0.59,75,5.5,11.625,1,67.5,0.076388889,0,-0.9239,-0.3827,7.08,0.8
8/3/2016,41.4,0,0.53,0.95,1.12,75,5.7,11.78071429,2,157.5,0.119444444,0,-0.7654,1.848,14.9,0.95
8/10/2016,20.2,7,0.33,0.33,0.33,75.9,3.6,12.32571429,3,180,0.159722222,0,-1.84E-16,3,5.12,0.64
8/15/2016,10,1,0.02,0.69,1.02,81,3.8,12.715,2,0,0.002777778,0,-1.23E-16,-2,9.35,0.89
8/22/2016,10,8,0.74,0.74,0.74,77.7,6.4,13.26,4,0,0.284722222,0,-2.45E-16,-4,6.93,0.79
8/24/2016,10,1,0,0.74,0.74,74.4,5.6,13.59142857,7,247.5,0.189583333,0,6.467,2.679,6.2,0.74
5/30/2017,14.6,4,0.21,0.22,0.88,59.3,5.3,4.97,8,135,0.174305556,1,-5.657,5.657,63.2,1.43
6/1/2017,12.6,0,0.2,0.41,0.42,67,4.6,4.984814815,8,247.5,0.051388889,1,7.391,3.061,84.7,1.56
6/5/2017,12.6,0,0.52,0.68,0.96,68.1,3.8,5.014444444,10,45,0.043055556,1,-7.071,-7.071,66.9,1.45
6/7/2017,16,0,0.29,0.81,1.04,59.7,4.1,5.029259259,8,0,0.094444444,1,-4.90E-16,-8,63.8,1.43
6/12/2017,10,5,0,0,0.51,80.4,4,5.066296296,8,247.5,0.271527778,1,7.391,3.061,35.9,1.26
6/15/2017,12.6,8,0,0.01,0.01,70,3.9,5.088518519,8,157.5,0.229166667,1,-3.061,7.391,29.7,1.21
6/20/2017,91.4,0,0.12,2.35,2.36,81.3,4.9,5.125555556,13,225,0.006944444,1,9.192,9.192,47.5,1.34
6/22/2017,160.7,1,0,0.13,2.35,78.7,5.8,5.14037037,7,247.5,0.071527778,1,6.467,2.679,34.7,1.25
6/26/2017,24.4,1,0,0.66,0.78,83.6,6.3,5.17,8,270,0.265972222,1,8,9.80E-16,37.1,1.27
6/28/2017,100.7,3,0.01,0.67,0.67,77,5.5,5.266428571,10,270,0.209027778,1,10,1.23E-15,27.4,1.19
7/6/2017,49.1,5,0,0,0.17,76.9,3.7,5.652142857,6,180,0.035416667,1,-3.67E-16,6,19.5,1.1
7/11/2017,252.2,3,0.76,1.78,1.78,75.1,4.4,5.893214286,7,180,0.302777778,1,-4.29E-16,7,23.6,1.15
7/13/2017,24.7,0,0.81,1.57,2.59,78.7,4.6,5.989642857,5,22.5,0.247916667,1,-1.913,-4.619,32.2,1.23
7/18/2017,12.6,4,0,0.01,1.57,78.2,5.4,6.230714286,9,202.5,0.072222222,1,3.444,8.315,25.5,1.17
7/20/2017,10,6,0.01,0.01,0.29,82,6.4,6.327142857,7,270,0.007638889,1,7,8.57E-16,21.9,1.13
7/24/2017,97.8,10,0.56,0.57,0.57,72.5,6.4,6.52,12,22.5,0.145833333,1,-4.592,-11.09,16.5,1.06
7/26/2017,191.4,1,0,0.56,0.57,70.8,6.1,6.653333333,6,180,0.272222222,1,-3.67E-16,6,21.9,1.13
7/31/2017,10,6,0,0.01,0.57,72.4,3.7,6.986666667,6,180,0.105555556,1,-3.67E-16,6,17.2,1.07
8/3/2017,25.8,9,0,0,0.01,77.1,4,7.186666667,9,180,0.004166667,1,-5.51E-16,9,14.5,1.03
8/7/2017,14.4,1,0,0.51,0.51,74.1,4.6,7.453333333,5,225,0.124305556,1,3.536,3.536,15.8,1.05
8/9/2017,18.5,0,0.06,0.57,0.57,70.5,5,7.586666667,7,247.5,0.202777778,1,6.467,2.679,15.1,1.04
8/15/2017,359.1,2,0.05,0.19,0.25,76.3,5,7.986666667,6,202.5,0.127777778,1,2.296,5.543,11.2,0.98
8/17/2017,12.6,1,0,0.05,0.19,74.6,5.6,8.12,6,135,0.048611111,1,-4.243,4.243,10.7,0.97
8/21/2017,215.8,2,0,0.3,0.35,76.1,6.3,8.386666667,6,247.5,0.119444444,1,5.543,2.296,15.1,1.04
8/24/2017,10,5,0.01,0.01,0.31,75.3,6.1,8.586666667,7,292.5,0.197916667,1,6.467,-2.679,9.76,0.95
8/28/2017,23.5,9,0,0,0.01,71.3,3.9,8.853333333,7,45,0.16875,1,-4.95,-4.95,8.43,0.88
8/30/2017,10,11,0.26,0.26,0.27,69.2,3.2,9.24,10,22.5,0.115277778,1,-3.827,-9.239,11.2,0.98
